,video_id,video_views,video_likes,video_comments,video_duration
442,_0f2II1Kty0,1726269,33851,2710,PT11M7S
443,i794P9uyXJQ,301325,9097,771,PT1M43S
444,JE0uBmOIb3o,58173,615,16,PT2M11S
445,WJsvUrsDoSk,21586,390,30,PT4M14S
446,mNWSf9VPRu0,80233,1573,150,PT4M10S
447,wjniCgLKZVw,444430,10265,463,PT5M13S
448,gOIkw7SyWus,856575,15542,1874,PT9M10S
449,Fbkds3zI9M8,233610,5800,323,PT2M3S
450,3Ezg0KfOREw,420433,5907,399,PT5M42S
451,JvDvOTz1WII,2220286,40969,2293,PT11M36S
452,ukPJ-cPKwtg,359853,8846,602,PT1M13S
453,PU0FNAH1jxQ,64584,1414,124,PT3M2S
454,Q5aOCCCkLYo,160561,3794,170,PT2M59S
455,87NOmKjWqWk,503710,8539,500,PT7M41S
456,0t-AxC0Obh8,729987,15146,1041,PT7M6S
457,8WR2XSBEtJo,2271614,44717,2556,PT10M36S
458,R5DXUzdQgP0,360223,7650,734,PT11M58S
459,Y0NjNKxFpqo,124498,3995,289,PT1M17S
460,omMxcRSaA40,70170,1309,33,PT1M29S
461,g6qq6lu_pHI,936138,28470,3363,PT8M31S
462,TojoDXDzAxA,175612,2544,203,PT3M35S
463,DSjferdRkis,128470,4437,204,PT1M34S
464,A74ncBZ54xw,235893,3523,267,PT6M42S
465,2zVMDSp4-Ik,254489,4330,287,PT4M54S
466,w9ka_fiJ8lE,1654885,33084,3069,PT10M36S
467,LaqGC_8RfsY,233710,5146,1453,PT1M14S
468,htsnZzFA9nQ,905727,17160,824,PT6M38S
469,e7x6J7DGGRY,463799,6215,401,PT7M37S
470,_TyABI9o4GM,290364,3233,238,PT7M59S
471,F4-oe8KwMsU,237254,4833,224,PT4M57S
472,Ym7Poc2kImI,2237528,42466,2859,PT10M40S
473,XHsuv2VaJ8U,103248,1941,107,PT1M6S
474,3HntTr-empY,70141,868,25,PT2M15S
475,y5TZf29aakg,63554,1934,167,PT5M34S
476,ktJZ4vE65Pg,20787,740,50,PT4M4S
477,Ld1151WZBoI,122739,3641,355,PT5M22S
478,qAbuL_NRbzE,383729,12611,682,PT3M21S
479,5AC5h4zKU4o,1266259,29767,3867,PT8M47S
480,0x5XkzlEvMI,503673,7151,756,PT6M54S
481,0u6rnwtTqjQ,308968,6903,576,PT7M2S
